operational_exposure_id,split_x,y_true,y_prob,split_y,interval_days,diameter_delta_raw_mm_side_1,diameter_delta_raw_mm_side_2,rtis_reporting_coverage_pct,turning_indicator_raw,days_since_turning,wheel_profile_2class,locomotive_number,home_shed,defect_zone,defect_division,interval_days_bucket,rtis_coverage_bucket,wear_side1_bucket,wear_side2_bucket,error
OE-730066-847409,test,1,0.0011,test,102.0,0.0,0.0,95.098,0,315.0,1.0,30277,GZBE ,3.0,11.0,interval Q5,coverage Q4,wear1 Q3,wear2 Q3,0.9989
OE-917642-991979,test,1,0.0012,test,69.0,-1.08,-0.8,0.0,0,315.0,0.0,39520,,,,interval Q4,coverage Q2,wear1 Q2,wear2 Q2,0.9988
OE-1051609-1120557,test,1,0.0013,test,47.0,-8.5,-7.5,0.0,0,315.0,0.0,30605,BZAE,3.0,13.0,interval Q4,coverage Q2,wear1 Q1,wear2 Q1,0.9987
OE-1069827-1107877,test,1,0.0013,test,32.0,0.0,0.0,0.0,0,315.0,0.0,39112,GMOE ,5.0,18.0,interval Q3,coverage Q1,wear1 Q3,wear2 Q3,0.9987
OE-786402-908131,test,1,0.0014,test,106.0,-5.0,-4.5,94.3396,0,315.0,1.0,37412,KYNE ,5.0,20.0,interval Q5,coverage Q4,wear1 Q1,wear2 Q1,0.9986
OE-786403-908132,test,1,0.0014,test,106.0,-5.0,-5.0,94.3396,0,315.0,1.0,37412,KYNE ,5.0,20.0,interval Q5,coverage Q4,wear1 Q1,wear2 Q1,0.9986
OE-1153621-1192315,test,1,0.0015,test,37.0,-4.2,-5.0,0.0,0,315.0,1.0,39050,KYNE ,10.0,38.0,interval Q3,coverage Q2,wear1 Q1,wear2 Q1,0.9985
OE-1153622-1192316,test,1,0.0015,test,37.0,-3.9,-3.5,0.0,0,315.0,1.0,39050,KYNE ,10.0,38.0,interval Q3,coverage Q2,wear1 Q1,wear2 Q1,0.9985
OE-786401-908130,test,1,0.0015,test,106.0,-5.5,-6.0,94.3396,0,315.0,1.0,37412,KYNE ,5.0,20.0,interval Q5,coverage Q4,wear1 Q1,wear2 Q1,0.9985
OE-982783-988805,test,1,0.0015,test,6.0,0.0,0.0,100.0,0,315.0,1.0,39208,GMOE ,4.0,17.0,interval Q1,coverage Q5,wear1 Q3,wear2 Q3,0.9985
OE-1153623-1192317,test,1,0.0016,test,37.0,-3.2,-3.2,0.0,0,315.0,1.0,39050,KYNE ,10.0,38.0,interval Q3,coverage Q2,wear1 Q1,wear2 Q1,0.9984
OE-760225-867087,test,1,0.0016,test,93.0,-1.0,-1.0,0.0,0,315.0,1.0,39454,,11.0,44.0,interval Q5,coverage Q2,wear1 Q2,wear2 Q2,0.9984
OE-1128003-1166966,test,1,0.0016,test,36.0,-3.41,-2.99,0.0,0,315.0,1.0,30757,BLEE,9.0,35.0,interval Q3,coverage Q1,wear1 Q1,wear2 Q1,0.9984
OE-1039709-1069826,test,1,0.0018,test,27.0,0.0,0.0,29.6296,0,315.0,0.0,39177,HWHE ,4.0,14.0,interval Q3,coverage Q3,wear1 Q5,wear2 Q5,0.9982
OE-1022355-1106227,test,1,0.0018,test,75.0,2.37,2.43,28.0,0,315.0,1.0,37871,EDE,14.0,58.0,interval Q4,coverage Q3,wear1 Q5,wear2 Q5,0.9982
OE-760224-867086,test,1,0.002,test,93.0,-2.0,-2.0,0.0,0,315.0,1.0,39454,,11.0,44.0,interval Q5,coverage Q2,wear1 Q2,wear2 Q2,0.998
OE-1189657-1192142,test,1,0.002,test,2.0,3.64,2.3,0.0,0,315.0,1.0,37482,EDE,14.0,58.0,interval Q1,coverage Q2,wear1 Q5,wear2 Q5,0.998
OE-1189658-1192143,test,1,0.002,test,2.0,3.08,2.21,0.0,0,315.0,1.0,37482,EDE,14.0,58.0,interval Q1,coverage Q2,wear1 Q5,wear2 Q5,0.998
OE-1189659-1192144,test,1,0.002,test,2.0,2.91,2.01,0.0,0,315.0,1.0,37482,EDE,14.0,58.0,interval Q1,coverage Q2,wear1 Q5,wear2 Q5,0.998
OE-807840-825317,test,1,0.0021,test,14.0,0.0,0.0,100.0,0,315.0,0.0,39468,,,,interval Q2,coverage Q5,wear1 Q4,wear2 Q4,0.9979
OE-701115-748738,test,1,0.0022,test,97.0,-2.0,-2.0,83.5052,0,315.0,0.0,30359,RPME,14.0,59.0,interval Q5,coverage Q4,wear1 Q2,wear2 Q2,0.9978
OE-1189655-1192140,test,1,0.0022,test,2.0,2.41,2.08,0.0,0,315.0,1.0,37482,EDE,14.0,58.0,interval Q1,coverage Q2,wear1 Q5,wear2 Q5,0.9978
OE-1155246-1168479,test,1,0.0022,test,10.0,0.0,0.0,0.0,0,315.0,1.0,39400,,3.0,11.0,interval Q2,coverage Q1,wear1 Q4,wear2 Q4,0.9978
OE-701118-748741,test,1,0.0022,test,97.0,-2.0,-2.0,83.5052,0,315.0,0.0,30359,RPME,14.0,59.0,interval Q5,coverage Q4,wear1 Q2,wear2 Q2,0.9978
OE-593106-844442,test,1,0.0024,test,270.0,1.0,0.0,78.1481,0,315.0,1.0,37533,GMOE ,2.0,7.0,interval Q5,coverage Q4,wear1 Q5,wear2 Q3,0.9976
OE-864688-913429,test,1,0.0026,test,69.0,-2.0,-2.0,0.0,0,315.0,1.0,39463,,,,interval Q4,coverage Q2,wear1 Q2,wear2 Q2,0.9974
OE-1035486-1102778,test,1,0.0026,test,73.0,0.0,0.0,30.137,0,315.0,1.0,30685,LGDE,10.0,39.0,interval Q4,coverage Q3,wear1 Q5,wear2 Q5,0.9974
OE-765542-810722,test,1,0.0028,test,241.0,0.0,0.0,53.527,0,315.0,0.0,37147,PADX,9.0,33.0,interval Q5,coverage Q3,wear1 Q4,wear2 Q4,0.9972
OE-765543-810723,test,1,0.0028,test,241.0,0.0,0.0,53.527,0,315.0,0.0,37147,PADX,9.0,33.0,interval Q5,coverage Q3,wear1 Q4,wear2 Q4,0.9972
OE-645350-853896,test,1,0.003,test,210.0,-13.0,-13.0,83.8095,0,315.0,1.0,37654,BGKD,,,interval Q5,coverage Q4,wear1 Q1,wear2 Q1,0.997
OE-615051-792489,test,1,0.003,test,191.0,-10.0,-9.7,72.7749,0,315.0,1.0,37722,BGKD,7.0,25.0,interval Q5,coverage Q3,wear1 Q1,wear2 Q1,0.997
OE-1196085-1205889,test,1,0.0031,test,8.0,0.0,0.0,0.0,0,315.0,1.0,39147,LGDE,10.0,42.0,interval Q2,coverage Q2,wear1 Q5,wear2 Q5,0.9969
OE-1194301-1205397,test,1,0.0033,test,13.0,0.0,0.0,0.0,0,315.0,0.0,39480,IZNE,4.0,14.0,interval Q2,coverage Q2,wear1 Q4,wear2 Q4,0.9967
OE-1161727-1194268,test,1,0.0033,test,30.0,-2.38,-1.95,0.0,0,315.0,1.0,39458,,8.0,31.0,interval Q3,coverage Q2,wear1 Q1,wear2 Q2,0.9967
OE-690443-792481,test,1,0.0033,test,96.0,-1.0,-1.0,47.9167,0,315.0,0.0,37759,,,,interval Q5,coverage Q3,wear1 Q2,wear2 Q2,0.9967
OE-765544-810724,test,1,0.0034,test,241.0,0.0,0.0,53.527,0,315.0,0.0,37147,PADX,9.0,33.0,interval Q5,coverage Q3,wear1 Q4,wear2 Q4,0.9966
OE-1161726-1194267,test,1,0.0034,test,30.0,-2.08,-2.22,0.0,0,315.0,1.0,39458,,8.0,31.0,interval Q3,coverage Q2,wear1 Q1,wear2 Q1,0.9966
OE-765545-810725,test,1,0.0035,test,241.0,0.0,0.0,53.527,0,315.0,0.0,37147,PADX,9.0,33.0,interval Q5,coverage Q3,wear1 Q4,wear2 Q4,0.9965
