operational_exposure_id,split_x,y_true,y_prob,split_y,interval_days,diameter_delta_raw_mm_side_1,diameter_delta_raw_mm_side_2,rtis_reporting_coverage_pct,turning_indicator_raw,days_since_turning,wheel_profile_2class,locomotive_number,home_shed,defect_zone,defect_division,interval_days_bucket,rtis_coverage_bucket,wear_side1_bucket,wear_side2_bucket,error
OE-934538-1019119,test,0,0.8718,test,77.0,0.0,0.0,100.0,0,315.0,0.0,30487,HWHE ,7.0,26.0,interval Q4,coverage Q5,wear1 Q5,wear2 Q5,0.8718
OE-899269-1006695,test,1,0.131,test,101.0,-8.2,-9.5,98.0198,0,315.0,1.0,37649,KJMD,13.0,53.0,interval Q5,coverage Q4,wear1 Q1,wear2 Q1,0.869
OE-800175-847475,test,0,0.869,test,40.0,0.0,0.0,0.0,0,315.0,1.0,39423,,,,interval Q3,coverage Q1,wear1 Q4,wear2 Q4,0.869
OE-739367-851679,test,0,0.869,test,100.0,-2.0,-2.0,0.0,0,315.0,1.0,39441,,,,interval Q5,coverage Q1,wear1 Q2,wear2 Q2,0.869
OE-739368-851680,test,0,0.869,test,100.0,-2.0,-2.0,0.0,0,315.0,1.0,39441,,,,interval Q5,coverage Q1,wear1 Q2,wear2 Q2,0.869
OE-908447-919165,test,0,0.8685,test,10.0,0.0,0.0,100.0,0,315.0,1.0,39096,BZAE,1.0,1.0,interval Q2,coverage Q5,wear1 Q5,wear2 Q5,0.8685
OE-781040-888687,test,0,0.8677,test,92.0,-1.0,-1.0,94.5652,0,315.0,1.0,37801,BIAE,5.0,18.0,interval Q5,coverage Q4,wear1 Q2,wear2 Q2,0.8677
OE-739369-851681,test,0,0.8669,test,100.0,-2.0,-2.0,0.0,0,315.0,1.0,39441,,,,interval Q5,coverage Q1,wear1 Q2,wear2 Q2,0.8669
OE-939996-992253,test,1,0.1336,test,41.0,-14.05,-15.2,0.0,0,315.0,1.0,39389,,9.0,33.0,interval Q3,coverage Q1,wear1 Q1,wear2 Q1,0.8664
OE-979833-1073258,test,1,0.1342,test,85.0,-2.8,-2.6,75.2941,0,315.0,1.0,39419,KJMD,13.0,53.0,interval Q4,coverage Q4,wear1 Q1,wear2 Q1,0.8658
OE-781039-888686,test,0,0.8655,test,92.0,-1.0,-1.0,94.5652,0,315.0,1.0,37801,BIAE,5.0,18.0,interval Q5,coverage Q4,wear1 Q2,wear2 Q2,0.8655
OE-767676-871822,test,0,0.8653,test,90.0,-1.0,-1.0,100.0,0,315.0,1.0,30557,HWHE ,2.0,8.0,interval Q5,coverage Q5,wear1 Q2,wear2 Q2,0.8653
