operational_exposure_id,split_x,y_true,y_pred,split_y,interval_days,diameter_delta_raw_mm_side_1,diameter_delta_raw_mm_side_2,rtis_reporting_coverage_pct,turning_indicator_raw,days_since_turning,wheel_profile_2class,locomotive_number,home_shed,defect_zone,defect_division,interval_days_bucket,rtis_coverage_bucket,wear_side1_bucket,wear_side2_bucket,error
OE-1155246-1168479,test,-57.0,14.6908,test,10.0,0.0,0.0,0.0,0,315.0,1.0,39400,,3.0,11.0,interval Q2,coverage Q1,wear1 Q4,wear2 Q4,71.6908
OE-869357-935573,test,-68.19,3.4075,test,61.0,0.0,0.0,98.3607,0,315.0,1.0,30217,GZBE ,5.0,20.0,interval Q4,coverage Q4,wear1 Q3,wear2 Q3,71.5975
OE-998243-1005300,test,66.0,-5.2674,test,6.0,0.0,0.0,100.0,0,315.0,1.0,39161,CNBE,,,interval Q1,coverage Q5,wear1 Q3,wear2 Q3,71.2674
OE-1144384-1201944,test,-71.0,0.0038,test,56.0,-0.6,-1.34,0.0,0,315.0,1.0,39545,,3.0,11.0,interval Q4,coverage Q3,wear1 Q2,wear2 Q2,71.0038
OE-811845-880354,test,-44.42,26.5709,test,56.0,0.0,0.0,100.0,0,315.0,0.0,37001,PADX,1.0,1.0,interval Q4,coverage Q5,wear1 Q4,wear2 Q4,70.9909
OE-811844-880353,test,-44.36,26.5709,test,56.0,0.0,0.0,100.0,0,315.0,0.0,37001,PADX,1.0,1.0,interval Q4,coverage Q5,wear1 Q4,wear2 Q4,70.9309
OE-758684-950828,test,-40.95,29.8977,test,245.0,0.0,0.0,91.8367,0,315.0,1.0,39366,PADX,1.0,5.0,interval Q5,coverage Q4,wear1 Q4,wear2 Q4,70.8477
OE-918853-936794,test,-51.5,19.3177,test,16.0,0.0,0.0,93.75,0,315.0,1.0,30268,KYNE ,5.0,18.0,interval Q2,coverage Q4,wear1 Q4,wear2 Q4,70.8177
OE-983444-1022443,test,49.0,-21.7945,test,36.0,0.0,0.0,100.0,0,315.0,1.0,39052,KYNE ,6.0,22.0,interval Q3,coverage Q4,wear1 Q3,wear2 Q3,70.7945
OE-1132023-1202003,test,-68.93,1.806,test,66.0,-3.27,-3.12,0.0,0,315.0,1.0,37928,,8.0,32.0,interval Q4,coverage Q2,wear1 Q1,wear2 Q1,70.736
OE-955743-1003600,test,-49.0,21.6827,test,42.0,0.0,0.0,100.0,0,315.0,1.0,39455,KYNE ,1.0,5.0,interval Q3,coverage Q5,wear1 Q5,wear2 Q5,70.6827
OE-987102-1085945,test,-63.0,7.6672,test,91.0,-0.5,-0.5,0.0,0,185.0,0.0,37898,,4.0,14.0,interval Q5,coverage Q2,wear1 Q2,wear2 Q2,70.6672
OE-546831-633048,test,35.4,-34.9761,test,112.0,-2.0,-4.0,87.5,0,315.0,1.0,30815,,9.0,36.0,interval Q5,coverage Q4,wear1 Q2,wear2 Q1,70.3761
OE-809103-828802,test,-65.5,4.8521,test,15.0,-1.5,-1.5,40.0,0,315.0,1.0,30556,RPME,5.0,18.0,interval Q2,coverage Q3,wear1 Q2,wear2 Q2,70.3521
OE-611325-657930,test,-67.0,3.3427,test,56.0,0.0,0.0,41.0714,0,1174.0,1.0,30271,,13.0,52.0,interval Q4,coverage Q3,wear1 Q3,wear2 Q3,70.3427
OE-1132024-1202004,test,-68.91,1.3957,test,66.0,-3.21,-2.17,0.0,0,315.0,1.0,37928,,8.0,32.0,interval Q4,coverage Q2,wear1 Q1,wear2 Q1,70.3057
